SESSION_ID,LABEL,SOURCE,HOST,PORT,START_TIME,END_TIME,COMMAND_COUNT
swarm_exfil_000443_922,ai_swarm,ai_swarm,127.0.0.1,2322,1771049086.6002674,1771049086.6002674,1
swarm_exfil_001327_569,ai_swarm,ai_swarm,127.0.0.1,2322,1771136010.865644,1771136010.865644,1
swarm_exfil_001823_421,ai_swarm,ai_swarm,127.0.0.1,2322,1771049975.6470964,1771049975.6470964,1
swarm_exfil_002541_302,ai_swarm,ai_swarm,127.0.0.1,2322,0,0,0
swarm_exfil_002616_382,ai_swarm,ai_swarm,127.0.0.1,2322,1771050413.5747256,1771050413.5747256,1
swarm_exfil_003337_931,ai_swarm,ai_swarm,127.0.0.1,2322,1771137319.9054544,1771137319.9054544,1
swarm_exfil_003359_954,ai_swarm,ai_swarm,127.0.0.1,2322,1771050867.6827266,1771050867.6827266,1
swarm_exfil_004114_626,ai_swarm,ai_swarm,127.0.0.1,2322,1771137736.435996,1771137785.885913,2
swarm_exfil_004155_717,ai_swarm,ai_swarm,127.0.0.1,2322,1771051423.731894,1771051423.731894,1
swarm_exfil_004937_143,ai_swarm,ai_swarm,127.0.0.1,2322,1771138181.0740259,1771138181.0740259,1
swarm_exfil_004945_137,ai_swarm,ai_swarm,127.0.0.1,2322,1771051907.9721184,1771051907.9721184,1
swarm_exfil_005715_679,ai_swarm,ai_swarm,127.0.0.1,2322,1771138731.6738622,1771138731.6738622,1
swarm_exfil_005743_723,ai_swarm,ai_swarm,127.0.0.1,2322,1771052318.599076,1771052318.599076,1
swarm_exfil_011108_244,ai_swarm,ai_swarm,127.0.0.1,2322,1771139506.8896122,1771139583.0715315,2
swarm_exfil_011653_872,ai_swarm,ai_swarm,127.0.0.1,2322,1771053501.4692633,1771053501.4692633,1
swarm_exfil_012157_521,ai_swarm,ai_swarm,127.0.0.1,2322,1771140241.9612515,1771140241.9612515,1
swarm_exfil_012437_329,ai_swarm,ai_swarm,127.0.0.1,2322,1771053939.3615282,1771053939.3615282,1
swarm_exfil_012947_525,ai_swarm,ai_swarm,127.0.0.1,2322,0,0,0
swarm_exfil_013248_894,ai_swarm,ai_swarm,127.0.0.1,2322,1771054464.4538755,1771054464.4538755,1
