Notes,County,County Code,Year,Year Code,Month,Month Code,MCD_Drug_Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Month_Date
,"Jackson County, MO",29095.0,2018,2018.0,1,2018/01,All other drug-induced causes,D9,133.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-01-01
,"Jackson County, MO",29095.0,2018,2018.0,1,2018/01,All other alcohol-induced causes,A9,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-01-01
,"Jackson County, MO",29095.0,2018,2018.0,1,2018/01,All other non-drug and non-alcohol causes,O9,633.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-01-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,All other drug-induced causes,D9,105.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,All other alcohol-induced causes,A9,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,2,2018/02,All other non-drug and non-alcohol causes,O9,565.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-02-01
,"Jackson County, MO",29095.0,2018,2018.0,3,2018/03,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-03-01
,"Jackson County, MO",29095.0,2018,2018.0,3,2018/03,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-03-01
,"Jackson County, MO",29095.0,2018,2018.0,3,2018/03,All other non-drug and non-alcohol causes,O9,560.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-03-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,All other drug-induced causes,D9,91.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,All other alcohol-induced causes,A9,18.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,4,2018/04,All other non-drug and non-alcohol causes,O9,501.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-04-01
,"Jackson County, MO",29095.0,2018,2018.0,5,2018/05,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-05-01
,"Jackson County, MO",29095.0,2018,2018.0,5,2018/05,All other drug-induced causes,D9,88.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-05-01
,"Jackson County, MO",29095.0,2018,2018.0,5,2018/05,All other non-drug and non-alcohol causes,O9,494.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-05-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,All other drug-induced causes,D9,83.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,All other alcohol-induced causes,A9,12.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
,"Jackson County, MO",29095.0,2018,2018.0,6,2018/06,All other non-drug and non-alcohol causes,O9,481.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-06-01
