"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"All other drug-induced causes"	"D9"	133	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"All other alcohol-induced causes"	"A9"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jan., 2018"	"2018/01"	"All other non-drug and non-alcohol causes"	"O9"	633	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"All other drug-induced causes"	"D9"	105	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"All other alcohol-induced causes"	"A9"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Feb., 2018"	"2018/02"	"All other non-drug and non-alcohol causes"	"O9"	565	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"All other drug-induced causes"	"D9"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Mar., 2018"	"2018/03"	"All other non-drug and non-alcohol causes"	"O9"	560	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"All other drug-induced causes"	"D9"	91	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"All other alcohol-induced causes"	"A9"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Apr., 2018"	"2018/04"	"All other non-drug and non-alcohol causes"	"O9"	501	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"May, 2018"	"2018/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"May, 2018"	"2018/05"	"All other drug-induced causes"	"D9"	88	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"May, 2018"	"2018/05"	"All other non-drug and non-alcohol causes"	"O9"	494	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"All other drug-induced causes"	"D9"	83	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"All other alcohol-induced causes"	"A9"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Jun., 2018"	"2018/06"	"All other non-drug and non-alcohol causes"	"O9"	481	Not Applicable	Not Applicable	Not Applicable	Not Applicable
