year,month,provisional_drug_overdose,percentage_of_records_pending,data_as_of
2020,1,134,0,2026-01-11T00:00:00.000
2020,2,139,0,2026-01-11T00:00:00.000
2020,3,138,0,2026-01-11T00:00:00.000
2020,4,137,0,2026-01-11T00:00:00.000
2020,5,146,0,2026-01-11T00:00:00.000
2020,6,153,0,2026-01-11T00:00:00.000
2020,7,165,0,2026-01-11T00:00:00.000
2020,8,173,0,2026-01-11T00:00:00.000
2020,9,172,0,2026-01-11T00:00:00.000
2020,10,175,0,2026-01-11T00:00:00.000
2020,11,171,0,2026-01-11T00:00:00.000
2020,12,177,0,2026-01-11T00:00:00.000
2021,1,192,0,2026-01-11T00:00:00.000
2021,2,190,0,2026-01-11T00:00:00.000
2021,3,199,0,2026-01-11T00:00:00.000
2021,4,216,0,2026-01-11T00:00:00.000
2021,5,219,0,2026-01-11T00:00:00.000
2021,6,225,0,2026-01-11T00:00:00.000
2021,7,220,0,2026-01-11T00:00:00.000
2021,8,229,0,2026-01-11T00:00:00.000
2021,9,239,0,2026-01-11T00:00:00.000
2021,10,243,0,2026-01-11T00:00:00.000
2021,11,250,0,2026-01-11T00:00:00.000
2021,12,251,0,2026-01-11T00:00:00.000
2022,1,251,0,2026-01-11T00:00:00.000
2022,2,257,0,2026-01-11T00:00:00.000
2022,3,257,0,2026-01-11T00:00:00.000
2022,4,244,0,2026-01-11T00:00:00.000
2022,5,248,0,2026-01-11T00:00:00.000
2022,6,257,0,2026-01-11T00:00:00.000
2022,7,261,0,2026-01-11T00:00:00.000
2022,8,274,0,2026-01-11T00:00:00.000
2022,9,289,0,2026-01-11T00:00:00.000
2022,10,299,0,2026-01-11T00:00:00.000
2022,11,300,0,2026-01-11T00:00:00.000
2022,12,309,0,2026-01-11T00:00:00.000
2023,1,312,0,2026-01-11T00:00:00.000
2023,2,318,0,2026-01-11T00:00:00.000
2023,3,317,0,2026-01-11T00:00:00.000
2023,4,331,0,2026-01-11T00:00:00.000
2023,5,323,0,2026-01-11T00:00:00.000
2023,6,318,0,2026-01-11T00:00:00.000
2023,7,327,0,2026-01-11T00:00:00.000
2023,8,320,0,2026-01-11T00:00:00.000
2023,9,305,0,2026-01-11T00:00:00.000
2023,10,297,0,2026-01-11T00:00:00.000
2023,11,298,0,2026-01-11T00:00:00.000
2023,12,295,0,2026-01-11T00:00:00.000
2024,1,285,0,2026-01-11T00:00:00.000
2024,2,287,0,2026-01-11T00:00:00.000
2024,3,284,0,2026-01-11T00:00:00.000
2024,4,277,0,2026-01-11T00:00:00.000
2024,5,290,0,2026-01-11T00:00:00.000
2024,6,286,0,2026-01-11T00:00:00.000
2024,7,285,0,2026-01-11T00:00:00.000
2024,8,276,0,2026-01-11T00:00:00.000
2024,9,270,0,2026-01-11T00:00:00.000
2024,10,268,0,2026-01-11T00:00:00.000
2024,11,266,0,2026-01-11T00:00:00.000
2024,12,266,0,2026-01-11T00:00:00.000
2025,1,271,0,2026-01-11T00:00:00.000
2025,2,259,0,2026-01-11T00:00:00.000
2025,3,255,0.0139997200055999,2026-01-11T00:00:00.000
2025,4,256,0.0139703827884884,2026-01-11T00:00:00.000
2025,5,251,0.0139567341242149,2026-01-11T00:00:00.000
2025,6,252,0.0140331181588549,2026-01-11T00:00:00.000
